Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
22392992790,Batedor Misturador Mixer Elétrico para Bebidas Leite Café Clara de Ovo 2 em 1,"19,00",100mil+,Isabela Top,13%,"R$2,47",https://shopee.com.br/product/415175805/22392992790,https://s.shopee.com.br/80AkwM9Cce
22797545994,Calça Legging Flare Flanelada Leg Boca De Sino Bailarina Grossa Zero Transparência,"36,80",80mil+,OxeanJeans,13%,"R$4,78",https://shopee.com.br/product/869193731/22797545994,https://s.shopee.com.br/8AUB8f8ZHh
23497309877,Espremedor Elétrico Laranja Limão Frutas Fazer Sucos Recarregável Usb Cozinha,"60,99",70mil+,BIG MO,19%,"R$11,59",https://shopee.com.br/product/807597901/23497309877,https://s.shopee.com.br/8KnbKy7vwk
16692338189,Jogo de Lençol 400 Fios Micropercal Com Fronha em Ponto Palito,"13,80",1mi+,Casa_Completa_Enxovais,3%,"R$0,41",https://shopee.com.br/product/552896405/16692338189,https://s.shopee.com.br/8V71XH7Ibn
22198813710,Kit Parafusadeira Elétrica/Furadeira 48 Peças À Bateria Sem Fio Carregador Usb Portátil Leve,"37,87",20mil+,Arco--íris,10%,"R$3,79",https://shopee.com.br/product/1456626119/22198813710,https://s.shopee.com.br/9zvpK21aZ6
20799757649,Jaqueta Blusa Jogger Masculina com Capuz Para Frio Com Refletivo,"32,97",100mil+,VIP ATACADOS LTDA,3%,"R$0,99",https://shopee.com.br/product/1169146045/20799757649,https://s.shopee.com.br/AAFFWL0xE9
12395259440,Toalha De Cabelo Banho Toalha Grossa Mágica Para Secar Cabelo De Microfibra Grossa Touca Pós Banheiro Casa,"10,59",40mil+,BIG MO,19%,"R$2,01",https://shopee.com.br/product/807597901/12395259440,https://s.shopee.com.br/AKYfie0JtC
22992945609,Capa Para Colchão Impermeavel Matelado Com Elastico,"13,80",800mil+,Icasa Ibitinga,3%,"R$0,41",https://shopee.com.br/product/300779622/22992945609,https://s.shopee.com.br/AUs5uwzgYF
56904683133,mini processador de alimentos elétrico picador de alho triturador de pimenta 350ml,"24,99",10mil+,Link&LinkShop_Brasil,3%,"R$0,75",https://shopee.com.br/product/1459307687/56904683133,https://s.shopee.com.br/9Kg8Wo47v2
23797549746,Jaqueta Puffer Bobojaco Corta Vento Nylon Frio Reforçada,"79,90",50mil+,U-Tensils2,13%,"R$10,39",https://shopee.com.br/product/419081850/23797549746,https://s.shopee.com.br/9UzYj73Ua5
29535501772,40 Peças / 46 Peças Jogo De Chave Catraca Caixa De Ferramentas Completa Reversível Soquetes Maleta,"29,90",30mil+,HONG11.br,19%,"R$5,68",https://shopee.com.br/product/1258554467/29535501772,https://s.shopee.com.br/9fIyvQ2rF8
23897176041,Fita de LED Mangueira Neon 5 Metros IP65 Flexível Com ou Sem Fonte | 8 Cores,"15,50",50mil+,Goreme Lâmpadas Iluminação e Decor,3%,"R$0,47",https://shopee.com.br/product/979730489/23897176041,https://s.shopee.com.br/9pcP7j2DuB
23098579259,Mini Máquina de Waffles Elétrica Portátil Casa Cozinha Fazer Waffle Panquecas Automático  110V- 220V,"40,99",30mil+,JZHANG,6%,"R$2,46",https://shopee.com.br/product/1528310601/23098579259,https://s.shopee.com.br/60PgYgGogS
18377415689,Calça Alfaiataria Feminina P ao Plus Size,"28,56",100mil+,Ellas Fashion Atacado,3%,"R$0,86",https://shopee.com.br/product/972503733/18377415689,https://s.shopee.com.br/6Aj6kzGBLV
23798710869,Lavitan Cabelos e Unhas 30 Comprimidos,"10,97",70mil+,Droga Clara,7%,"R$0,77",https://shopee.com.br/product/1045085918/23798710869,https://s.shopee.com.br/6L2WxIFY0Y
23393471926,"Alicate Aplicador com 100 Botões de Pressão de Metal, Kit Completo para Roupas, Costura e Artesanato","20,89",30mil+,vipcasa,11%,"R$2,30",https://shopee.com.br/product/1024782317/23393471926,https://s.shopee.com.br/6VLx9bEufb
22294219736,Antena Digital Interna Externa Full Hdtv 4K Cabo de  3m-5m Grande tx-3008,"15,99",20mil+,Cuco Variedades,3%,"R$0,48",https://shopee.com.br/product/1457230584/22294219736,https://s.shopee.com.br/5L9zlSJM2O
22593915398,Chaleira Elétrica Jarra Café Chá Inox 110v,"43,90",70mil+,SELLNEEDS,10%,"R$4,39",https://shopee.com.br/product/408653169/22593915398,https://s.shopee.com.br/5VTPxlIihR
